date,open,high,low,close,pct_change,volume,turnover,symbol
3/30/2025,1089.65,1125,1068,1105,1.41,3473,3857831.9,ACLBSL
4/1/2025,1085,1090,1070,1083.49,-1.95,3625,3922306.4,ACLBSL
4/2/2025,1104,1117.9,1083,1097.34,1.28,1613,1778506.4,ACLBSL
4/3/2025,1077,1108.9,1077,1080.24,-1.56,2976,3222675.5,ACLBSL
4/7/2025,1101.8,1101.8,1053,1055.24,-2.31,4073,4359772.5,ACLBSL
4/8/2025,1045,1060,1036,1050.76,-0.42,2869,2994598,ACLBSL
4/9/2025,1051,1088.9,1051,1055.9,0.49,1701,1800631.5,ACLBSL
4/10/2025,1070,1076.1,1046.6,1073.5,1.67,3117,3308573.2,ACLBSL
4/13/2025,1080,1094,1055.2,1067.03,-0.6,2684,2876218.7,ACLBSL
4/15/2025,1060,1088.3,1057.1,1066,-0.1,769,825269.3,ACLBSL
4/16/2025,1087,1087.3,1060,1067.98,0.19,993,1063906.1,ACLBSL
4/17/2025,1052,1087,1052,1079,1.03,3268,3509994,ACLBSL
4/20/2025,1061,1095,1060,1073.71,-0.49,773,826688.2,ACLBSL
4/21/2025,1089.9,1089.9,1059,1078.54,0.45,4108,4418369.8,ACLBSL
4/22/2025,1061,1080,1061,1074.8,-0.35,1821,1954238.1,ACLBSL
4/23/2025,1063.5,1064,1060,1060,-1.38,748,793087.1,ACLBSL
4/24/2025,1045.1,1059,1045.1,1054.72,-0.5,597,628360.6,ACLBSL
4/27/2025,1060,1080,1035,1046.21,-0.81,2281,2384490,ACLBSL
4/28/2025,1035,1070,1030,1039.22,-0.67,1330,1388551.5,ACLBSL
4/29/2025,1020.1,1045,1020.1,1026.23,-1.25,1516,1556590.5,ACLBSL
4/30/2025,1026,1040.9,1000,1010.1,-1.57,3103,3142863.9,ACLBSL
5/4/2025,1020,1020,1000,1009.44,-0.07,2215,2223577.3,ACLBSL
5/5/2025,1020,1040,1010,1013.91,0.44,1890,1919472.7,ACLBSL
5/6/2025,1014,1020,1013.9,1015.41,0.15,2201,2237306.4,ACLBSL
5/7/2025,1011,1045,1001,1043.97,2.81,2188,2238909.9,ACLBSL
5/8/2025,1064,1084,1024,1046.02,0.2,1464,1518188.9,ACLBSL
5/11/2025,1066,1091,1036,1040,-0.58,2470,2602974.2,ACLBSL
5/13/2025,1040,1050,1031,1033.03,-0.67,710,734381,ACLBSL
